                  X               XYData-1    

                0.                 0.         
                3.E-03            20.517E+03  
                6.E-03            41.0345E+03 
               10.5E-03           71.8124E+03 
               17.25E-03         117.987E+03  
               27.375E-03        187.277E+03  
               42.5625E-03       291.313E+03  
               65.3437E-03       447.714E+03  
               99.5156E-03       683.467E+03  
              150.773E-03          1.03988E+06
              225.773E-03          1.57206E+06
              300.773E-03          2.12018E+06
              375.773E-03          2.68786E+06
              450.773E-03          3.27829E+06
              525.773E-03          3.8944E+06 
              600.773E-03          4.53893E+06
              675.773E-03          5.21453E+06
              750.773E-03          5.92388E+06
              825.773E-03          6.66968E+06
              900.773E-03          7.45473E+06
              975.773E-03          8.28201E+06
                1.05077            9.15468E+06
                1.12577           10.0762E+06 
                1.20077           11.0502E+06 
                1.27577           12.0809E+06 
                1.35077           13.1728E+06 
                1.42577           14.331E+06  
                1.50077           15.561E+06  
                1.57577           16.8694E+06 
                1.65077           18.2633E+06 
                1.72577           19.7589E+06 
                1.80077           21.3415E+06 
                1.87577           23.046E+06  
                1.95077           24.8855E+06 
                2.02577           26.8484E+06 
                2.10077           28.9777E+06 
                2.17577           31.2845E+06 
                2.25077           33.7925E+06 
                2.32577           36.5398E+06 
                2.40077           39.5297E+06 
                2.47577           42.8336E+06 
                2.55077           46.4916E+06 
                2.62577           50.5654E+06 
                2.70077           55.1326E+06 
                2.77577           60.2911E+06 
                2.85077           66.1664E+06 
                2.92577           72.9219E+06 
                3.                80.6861E+06 
