                             SDV10 E: 1 IP: 8 
                  X             ELSET ELEM-1  

                0.                 0.         
                1.                 0.         
                2.                 0.         
                3.5                0.         
                5.75               0.         
                9.125              0.         
               14.1875             0.         
               21.7813             0.         
               33.1719             0.         
               50.2578             0.         
               75.2578             0.         
              100.258              0.         
              125.258              0.         
              150.258              0.         
              175.258              0.         
              200.258              0.         
              225.258              0.         
              250.258              0.         
              275.258              0.         
              300.258              0.         
              325.258              0.         
              350.258              0.         
              375.258              0.         
              400.258              0.         
              425.258              0.         
              450.258              0.         
              475.258              0.         
              500.258              0.         
              525.258              0.         
              550.258              0.         
              575.258              0.         
              600.258              0.         
              625.258              0.         
              650.258              0.         
              675.258              0.         
              700.258              0.         
              725.258              0.         
              750.258              0.         
              775.258              0.         
              800.258              0.         
              825.258              0.         
              850.258              0.         
              875.258              0.         
              900.258              0.         
              925.258              0.         
              950.258              0.         
              975.258              0.         
                1.E+03             0.         
                1.E+03             0.         
                1.00001E+03       25.E-06     
                1.00002E+03       49.9988E-06 
                1.00003E+03       87.495E-06  
                1.00006E+03      143.735E-06  
                1.00009E+03      228.086E-06  
                1.00014E+03      354.591E-06  
                1.00022E+03      544.3E-06    
                1.00033E+03      828.756E-06  
                1.0005E+03         1.2552E-03 
                1.00076E+03        1.89431E-03
                1.00114E+03        2.85176E-03
                1.00172E+03        4.28517E-03
                1.00258E+03        6.42912E-03
                1.00388E+03        9.6312E-03 
                1.00583E+03       14.4034E-03 
                1.00875E+03       21.4929E-03 
                1.01313E+03       31.9748E-03 
                1.0197E+03        47.3624E-03 
                1.02955E+03       69.716E-03  
                1.04433E+03      101.691E-03  
                1.0665E+03       146.414E-03  
                1.0915E+03       191.952E-03  
                1.1165E+03       232.761E-03  
                1.1415E+03       269.552E-03  
                1.1665E+03       302.899E-03  
                1.1915E+03       333.271E-03  
                1.2165E+03       361.054E-03  
                1.2415E+03       386.569E-03  
                1.2665E+03       410.088E-03  
                1.2915E+03       431.838E-03  
                1.3165E+03       452.013E-03  
                1.3415E+03       470.781E-03  
                1.3665E+03       488.286E-03  
                1.3915E+03       504.652E-03  
                1.4165E+03       519.987E-03  
                1.4415E+03       534.388E-03  
                1.4665E+03       547.938E-03  
                1.4915E+03       560.71E-03   
                1.5165E+03       572.771E-03  
                1.5415E+03       584.179E-03  
                1.5665E+03       594.986E-03  
                1.5915E+03       605.238E-03  
                1.6165E+03       614.978E-03  
                1.6415E+03       624.243E-03  
                1.6665E+03       633.068E-03  
                1.6915E+03       641.482E-03  
                1.7165E+03       649.516E-03  
                1.7415E+03       657.193E-03  
                1.7665E+03       664.538E-03  
                1.7915E+03       671.571E-03  
                1.8165E+03       678.313E-03  
                1.8415E+03       684.781E-03  
                1.8665E+03       690.991E-03  
                1.8915E+03       696.959E-03  
                1.9165E+03       702.698E-03  
                1.9415E+03       708.223E-03  
                1.9665E+03       713.544E-03  
                1.9915E+03       718.672E-03  
                2.E+03           720.355E-03  
                2.E+03           720.355E-03  
                2.00001E+03      720.355E-03  
                2.00002E+03      720.355E-03  
                2.00004E+03      720.355E-03  
                2.00006E+03      720.355E-03  
                2.00009E+03      720.355E-03  
                2.00014E+03      720.355E-03  
                2.00022E+03      720.355E-03  
                2.00033E+03      720.355E-03  
                2.0005E+03       720.355E-03  
                2.00076E+03      720.355E-03  
                2.00114E+03      720.355E-03  
                2.00172E+03      720.355E-03  
                2.00258E+03      720.355E-03  
                2.00388E+03      720.355E-03  
                2.00583E+03      720.355E-03  
                2.00875E+03      720.355E-03  
                2.01313E+03      720.355E-03  
                2.0197E+03       720.355E-03  
                2.02955E+03      720.355E-03  
                2.03955E+03      720.355E-03  
                2.04955E+03      720.355E-03  
                2.05955E+03      720.355E-03  
                2.06955E+03      720.355E-03  
                2.07955E+03      720.355E-03  
                2.08955E+03      720.355E-03  
                2.09955E+03      720.355E-03  
                2.10955E+03      720.355E-03  
                2.11955E+03      720.355E-03  
                2.12955E+03      720.355E-03  
                2.13955E+03      720.355E-03  
                2.14955E+03      720.355E-03  
                2.15955E+03      720.355E-03  
                2.16955E+03      720.355E-03  
                2.17955E+03      720.355E-03  
                2.18955E+03      720.355E-03  
                2.19955E+03      720.355E-03  
                2.20955E+03      720.355E-03  
                2.21955E+03      720.355E-03  
                2.22955E+03      720.355E-03  
                2.23955E+03      720.355E-03  
