                  X            StrainVsStress 

                0.                 0.         
                2.E-03             5.998E+03  
                4.E-03            11.996E+03  
                7.E-03            20.9932E+03 
               11.5E-03           34.4898E+03 
               18.25E-03          54.7374E+03 
               28.375E-03         85.1191E+03 
               43.5625E-03       130.727E+03  
               66.3438E-03       199.261E+03  
              100.516E-03        302.459E+03  
              150.516E-03        454.265E+03  
              200.516E-03        607.889E+03  
              250.516E-03        763.593E+03  
              300.516E-03        921.708E+03  
              350.516E-03          1.08252E+06
              400.516E-03          1.24714E+06
              450.516E-03          1.41315E+06
              500.516E-03          1.58432E+06
              550.516E-03          1.75706E+06
              600.516E-03          1.93539E+06
              650.516E-03          2.11647E+06
              700.516E-03          2.30138E+06
              750.516E-03          2.49022E+06
              800.516E-03          2.68307E+06
              850.516E-03          2.88001E+06
              900.516E-03          3.08111E+06
              950.516E-03          3.28641E+06
                1.00052            3.49597E+06
                1.05052            3.70984E+06
                1.10052            3.92806E+06
                1.15052            4.15067E+06
                1.20052            4.3777E+06 
                1.25052            4.60917E+06
                1.30052            4.84512E+06
                1.35052            5.08558E+06
                1.40052            5.33055E+06
                1.45052            5.58007E+06
                1.50052            5.83415E+06
                1.55052            6.0928E+06 
                1.60052            6.35605E+06
                1.65052            6.6239E+06 
                1.70052            6.89636E+06
                1.75052            7.17346E+06
                1.80052            7.45518E+06
                1.85052            7.74155E+06
                1.90052            8.03257E+06
                1.95052            8.32824E+06
                2.                 8.62544E+06
                2.                 8.62544E+06
                2.                 8.62422E+06
                2.                 8.62423E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                2.                 8.62422E+06
                1.99998            8.62409E+06
                1.99997            8.62396E+06
                1.99994            8.62376E+06
                1.99991            8.62346E+06
                1.99985            8.62302E+06
                1.99977            8.62235E+06
                1.99965            8.62134E+06
                1.99946            8.61984E+06
                1.99919            8.61758E+06
                1.99878            8.61419E+06
                1.99816            8.60911E+06
                1.99723            8.6015E+06 
                1.99583            8.59008E+06
                1.99374            8.57297E+06
                1.99061            8.54735E+06
                1.98592            8.50899E+06
                1.97889            8.45165E+06
                1.96839            8.36604E+06
                1.95269            8.23858E+06
                1.93684            8.11029E+06
                1.92108            7.98311E+06
                1.9054             7.85705E+06
                1.88981            7.7321E+06 
                1.8743             7.60826E+06
                1.85887            7.48553E+06
                1.84353            7.36388E+06
                1.82828            7.24333E+06
                1.81311            7.12387E+06
                1.79803            7.00548E+06
                1.78304            6.88816E+06
                1.76813            6.77191E+06
                1.75331            6.65671E+06
                1.73858            6.54257E+06
                1.72394            6.42947E+06
                1.70939            6.31741E+06
                1.69493            6.20638E+06
                1.68055            6.09638E+06
                1.66627            5.9874E+06 
                1.65207            5.87942E+06
                1.63797            5.77245E+06
                1.62395            5.66648E+06
                1.61003            5.56149E+06
                1.59619            5.45749E+06
                1.58245            5.35447E+06
                1.56879            5.25241E+06
                1.55523            5.15131E+06
                1.54176            5.05116E+06
